Gene,Degree,Betweenness,Closeness,Eigenvector
Metap1,114,0.0006546298484887843,0.3671645420043586,0.04711529150593418
Ddx24,114,0.00015319187737620037,0.3613463741741817,0.04411380626993853
Hmox1,114,0.002397129182231711,0.40318923692275727,0.0033092537868384285
Fcf1,114,0.0011965442823532223,0.3699475711126363,0.04720828423722365
Clspn,113,0.0009591855354340794,0.38266928951403373,0.0024481934448921023
Nolc1,112,0.0008437021775123644,0.369554428104015,0.04122815154577367
Hnrnpa2b1,112,0.002853759559313831,0.399254554358069,0.011061710897766076
Fyn,111,0.0025634291905270467,0.3967492491110989,0.0026919044573698197
Sec61a1,111,0.00260366692242494,0.3768123709558479,0.038927657032084374
Ctps1,111,0.0012425445068627765,0.3820386892017337,0.038551138995351494
Dhx37,111,0.0004324964097034211,0.3600369787455707,0.03756363738086792
Pik3r1,111,0.0035398706564656376,0.395846006654386,0.0019464524784532488
Nsun2,111,0.0005479110433703763,0.3565302748644143,0.040981321009366974
Serbp1,110,0.00039165189060237545,0.3736241921524342,0.045901339582821186
Naca,110,0.0018622140802155083,0.37157816679137506,0.04396020401393574
Mrpl17,110,0.0009819300712137343,0.37468090703933,0.03478369581811127
Hnrnpd,110,0.0021775865046818163,0.40051910952591785,0.00998328634156271
Vezt,110,0.001386266082986185,0.370193710547841,0.0473031874260812
Timp1,110,0.001849245504114962,0.38969123613489637,0.00235467660070606
Rbm34,110,0.00030260791088281355,0.3590148063965705,0.042072400386611315
Psmd2,110,0.0008664681432593012,0.40383302870765353,0.009463131150601562
Cd68,109,0.0011480519085191741,0.38505269685356747,0.0022165780593804514
Cenpe,109,0.0009628676137865115,0.361487231648522,0.0014812698326791007
Rpl29,109,5.895084821140864e-05,0.3675040600749042,0.04635971974503063
Prim1,109,0.0009979953111867537,0.3738250113903554,0.002943691605032598
Ran,109,0.0015783919479412276,0.3855329455054082,0.016247852383079565
Ndc80,109,0.0010241948177006472,0.36789285040558384,0.0019543567530838973
Snrpd1,109,0.0008439961558434211,0.3671645420043586,0.008810105538955127
Snrpf,108,0.0012971288289833239,0.3636133492049438,0.006390168439536707
Mcm10,108,0.0004343353554462556,0.36745551905521395,0.0023990569406131222
Cxcl1,108,0.0008002926857283444,0.380679492989467,0.002201832310222361
Blm,108,0.0008464155749527947,0.3917766138243945,0.0030878364723051876
Psma3,108,0.0005700851085861934,0.4001158830385481,0.012062286304833178
Pxn,107,0.001781523793636219,0.3900190291275796,0.0023459090714812152
Eif3a,107,0.0003933158787963565,0.38590730125773687,0.03618496500439608
Txn1,107,0.004616819547133771,0.413558158877215,0.013846757633056195
